round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
First,Fabrice Santoro,7-5 4-6 7-5 6-1,2004,m,Fabrice Santoro,Peter Luczak,FRA,AUS,57%,66%,17,5,2,7,82%,62%,0.65,0.56,187,195,163,166,132,132,0.24,0.13,0.40,0.25,143,115,58,48,18,39,63%,61%
First,Guillermo Canas,6-2 6-2 6-4,2004,m,Guillermo Canas,Sebastien de Chaunac,ARG,FRA,66%,56%,1,1,5,6,86%,58%,0.46,0.54,,,,,,,0.56,0,0.44,0.27,91,66,13,18,27,56,64%,57%
First,Wayne Arthurs,7-6(2) 6-4 6-7(2) 6-7(5) 6-2,2004,m,Wayne Arthurs,Roko Karanusic,AUS,CRO,57%,65%,23,10,7,3,84%,74%,0.59,0.61,208,195,181,164,133,133,0.33,0.33,0.31,0.27,171,160,73,55,55,25,64%,63%
First,Jiri Novak,6-3 6-3 7-5,2004,m,Jiri Novak,Olivier Rochus,CZE,BEL,69%,62%,5,2,1,2,76%,57%,0.43,0.38,191,179,172,161,141,141,0.58,0.38,0.51,0.34,103,73,35,26,19,32,50%,73%
First,Lleyton Hewitt,6-2 6-4 0-1 ret.,2004,m,Lleyton Hewitt,Cecil Mamiit,AUS,PHI,56%,50%,4,3,3,3,82%,56%,0.64,0.63,190,200,173,176,145,145,0.43,0,0.41,0.26,63,51,15,11,22,23,53%,80%
First,Albert Costa,6-4 6-3 6-4,2004,m,Albert Costa,Greg Rusedski,ESP,GBR,67%,58%,3,8,2,5,73%,69%,0.46,0.39,191,209,166,173,146,146,0.55,0.43,0.44,0.36,88,74,33,37,14,29,50%,45%
First,Gustavo Kuerten,5-7 6-0 6-1 2-6 8-6,2004,m,Gustavo Kuerten,John van Lottum,BRA,NED,54%,57%,19,5,8,6,73%,63%,0.46,0.42,201,188,178,162,133,133,0.83,0.41,0.46,0.39,148,126,43,48,52,64,75%,76%
First,Andre Agassi,6-1 6-3 6-4,2004,m,Andre Agassi,Todd Larkham,USA,AUS,56%,72%,8,2,3,3,79%,56%,0.53,0.44,191,182,173,166,147,147,0.5,0.25,0.48,0.32,94,71,33,15,33,25,75%,64%
First,Andy Roddick,6-2 7-5 7-6(4),2004,m,Andy Roddick,Fernando Gonzalez,USA,CHI,57%,64%,20,10,4,5,84%,68%,0.57,0.44,220,214,199,178,143,143,0.25,0.2,0.40,0.28,120,99,38,43,28,42,60%,71%
First,Ivo Karlovic,7-6(0) 7-6(5) 7-6(4),2004,m,Ivo Karlovic,Mardy Fish,CRO,USA,66%,63%,21,12,6,5,83%,85%,0.52,0.63,,,,,,,0,0,0.23,0.28,113,117,51,44,40,20,54%,85%
First,Tomas Berdych,6-4 6-2 5-7 6-3,2004,m,Tomas Berdych,Nicolas Mahut,CZE,FRA,56%,45%,18,10,9,14,76%,65%,0.47,0.45,,,,,,,0.33,0.33,0.46,0.37,147,123,49,28,44,51,59%,64%
First,Bohdan Ulihrach,6-4 3-6 6-2 6-1,2004,m,Bohdan Ulihrach,Lars Burgsmuller,CZE,GER,66%,60%,3,10,5,10,75%,63%,0.49,0.42,,,,,,,0.33,0.33,0.46,0.34,130,109,40,35,40,29,82%,53%
First,Jurgen Melzer,6-1 6-2 6-2,2004,m,Jurgen Melzer,Tomas Behrend,AUT,GER,61%,65%,4,2,0,5,79%,58%,0.76,0.31,,,,,,,0.46,0,0.51,0.22,93,55,25,17,18,45,65%,73%
First,Jerome Golmard,7-6(3) 6-4 6-1,2004,m,Jerome Golmard,Albert Portas,FRA,ESP,57%,55%,8,6,6,8,82%,69%,0.53,0.4,,,,,,,0.55,0.67,0.44,0.31,103,80,32,29,26,40,67%,90%
First,Taylor Dent,6-2 6-1 2-1 ret.,2004,m,Taylor Dent,Fernando Verdasco,USA,ESP,45%,55%,3,0,7,3,87%,41%,0.64,0.54,212,177,180,155,144,144,0.63,0,0.53,0.25,71,42,22,14,19,21,69%,75%
First,Sebastien Grosjean,6-1 6-4 7-5,2004,m,Sebastien Grosjean,Mikhail Youzhny,FRA,RUS,45%,54%,3,3,3,5,84%,60%,0.61,0.49,191,191,173,173,139,139,0.5,0.33,0.45,0.29,104,77,25,20,28,40,63%,60%
First,Gaston Gaudio,6-3 6-2 7-6(6),2004,m,Gaston Gaudio,Tommy Robredo,ARG,ESP,63%,51%,3,6,10,7,71%,61%,0.53,0.52,187,195,162,163,137,137,0.42,0.2,0.43,0.36,116,99,21,27,32,52,70%,55%
First,Nicolas Escude,6-3 7-6(5) 6-2,2004,m,Nicolas Escude,Hyung-Taik Lee,FRA,KOR,57%,53%,15,2,2,3,75%,63%,0.5,0.36,195,193,182,175,140,140,0.46,0.38,0.50,0.36,111,83,41,21,27,36,63%,63%
First,Todd Martin,4-6 4-6 7-6(5) 7-6(4) 6-3,2004,m,Todd Martin,Antony Dupuis,USA,FRA,63%,60%,26,26,12,8,76%,80%,0.58,0.49,,,,,,,0.5,0.57,0.32,0.30,164,159,66,67,50,56,60%,68%
First,Nicolas Lapentti,6-1 6-3 6-1,2004,m,Nicolas Lapentti,Oscar Hernandez,ECU,ESP,72%,62%,3,1,1,5,81%,56%,0.69,0.32,,,,,,,0.54,0,0.53,0.22,99,60,13,18,20,47,76%,58%
First,Sjeng Schalken,7-5 6-3 6-1,2004,m,Sjeng Schalken,Kenneth Carlsen,NED,DEN,83%,59%,3,6,1,5,75%,71%,0.53,0.41,,,,,,,0.63,0,0.41,0.28,97,73,19,25,22,48,65%,67%
First,Galo Blanco,4-1 ret.,2004,m,Galo Blanco,Younes El Aynaoui,ESP,MAR,53%,67%,2,3,1,2,88%,50%,0.43,0.25,185,196,145,178,149,149,0.4,0,0.58,0.33,24,15,7,6,5,16,,
First,Paradorn Srichaphan,7-5 6-4 6-0,2004,m,Paradorn Srichaphan,Jose Acasuso,THA,ARG,54%,57%,11,7,5,5,86%,56%,0.62,0.54,196,204,177,178,149,149,0.56,0,0.45,0.25,101,70,35,23,20,36,63%,60%
First,Dominik Hrbaty,6-3 6-3 6-3,2004,m,Dominik Hrbaty,Flavio Saretta,SVK,BRA,71%,48%,4,7,2,5,67%,65%,0.7,0.37,,,,,,,0.5,0.4,0.49,0.33,98,71,19,23,34,55,57%,75%
First,Jan-Michael Gambill,6-2 6-3 ret.,2004,m,Jan-Michael Gambill,Gregory Carraz,USA,FRA,67%,48%,18,2,0,8,79%,67%,0.58,0.46,,,,,,,0.43,0,0.44,0.28,63,44,36,12,9,13,53%,67%
First,Robin Soderling,4-6 4-6 7-5 6-3 6-4,2004,m,Robin Soderling,Rainer Schuettler,SWE,GER,64%,63%,10,12,4,4,71%,71%,0.56,0.53,204,193,185,167,143,143,0.33,0.5,0.36,0.34,158,155,54,47,72,45,60%,71%
First,Thomas Enqvist,4-6 6-4 6-4 7-6(6),2004,m,Thomas Enqvist,Vince Spadea,SWE,USA,58%,62%,10,10,9,1,78%,66%,0.48,0.6,,,,,,,0.4,0.5,0.36,0.35,142,139,60,28,69,39,65%,40%
First,Marat Safin,6-2 3-6 6-3 6-4,2004,m,Marat Safin,Brian Vahaly,RUS,USA,58%,59%,19,1,2,9,74%,67%,0.59,0.49,208,177,192,152,136,136,0.45,0.25,0.40,0.32,127,109,64,25,55,31,62%,64%
First,Chris Guccione,6-3 7-6(3) 6-2,2004,m,Chris Guccione,Alun Jones,AUS,AUS,53%,59%,11,5,4,4,80%,70%,0.55,0.46,217,183,191,163,142,142,0.29,0.2,0.40,0.31,110,90,38,34,33,20,65%,60%
First,Jarkko Nieminen,6-1 6-7(5) 6-2 6-3,2004,m,Jarkko Nieminen,Nicolas Massu,FIN,CHI,62%,59%,4,5,5,10,71%,62%,0.56,0.38,190,201,158,170,134,134,0.57,0.17,0.47,0.35,138,105,27,35,45,75,68%,59%
First,Ivan Ljubicic,7-6(2) 6-4 5-7 6-2,2004,m,Ivan Ljubicic,Dmitry Tursunov,CRO,RUS,59%,54%,5,7,2,7,67%,66%,0.7,0.57,,,,,,,0.27,0.4,0.38,0.32,148,135,35,45,38,50,68%,50%
First,David Ferrer,7-6(4) 6-1 6-3,2004,m,David Ferrer,Gilles Muller,ESP,LUX,55%,51%,4,4,5,8,79%,69%,0.5,0.39,,,,,,,0.75,0.29,0.46,0.34,100,77,21,23,27,45,55%,55%
First,Karol Beck,6-4 6-0 2-6 6-4,2004,m,Karol Beck,Stefan Koubek,SVK,AUT,52%,71%,7,3,6,2,81%,55%,0.35,0.35,,,,,,,0.62,0.56,0.50,0.41,114,95,27,18,50,44,81%,50%
First,Olivier Patience,4-6 4-6 7-6(4) 6-1 6-2,2004,m,Olivier Patience,Igor Andreev,FRA,RUS,58%,51%,7,6,4,9,69%,72%,0.54,0.5,,,,,,,0.44,0.8,0.39,0.37,143,140,30,58,41,74,68%,73%
First,Nikolay Davydenko,6-7(6) 4-6 6-4 6-1 6-2,2004,m,Nikolay Davydenko,Arnaud Clement,RUS,FRA,71%,52%,10,8,3,5,70%,70%,0.46,0.5,190,188,159,163,134,134,0.35,0.16,0.40,0.37,166,153,53,36,51,61,52%,56%
First,Robby Ginepri,7-5 6-3 6-3,2004,m,Robby Ginepri,Luis Horna,USA,PER,57%,64%,16,12,5,4,82%,64%,0.57,0.47,196,211,166,170,144,144,0.25,0.2,0.43,0.29,113,94,53,38,24,36,60%,60%
First,James Blake,6-1 6-4 6-4,2004,m,James Blake,Ivan Miranda,USA,PER,56%,63%,8,2,5,1,74%,64%,0.59,0.41,212,193,186,171,136,136,0.45,0.13,0.45,0.32,96,75,36,13,41,21,68%,50%
First,Juan Ignacio Chela,6-4 6-3 3-6 6-3,2004,m,Juan Ignacio Chela,Irakli Labadze,ARG,GEO,71%,70%,2,2,2,10,66%,68%,0.56,0.39,,,,,,,0.83,0.33,0.40,0.37,118,108,15,55,16,58,50%,68%
Final,Stanislas Wawrinka,6-3 6-2 3-6 6-3,2014,m,Stanislas Wawrinka,Rafael Nadal,SUI,ESP,55%,78%,19,1,2,3,87%,60%,0.51,0.42,217,200,192,162,134,134,0.33,0.33,0.44,0.29,116,88,53,19,49,32,92%,63%
semi,Rafael Nadal,7-6(4) 6-3 6-3,2014,m,Rafael Nadal,Roger Federer,ESP,SUI,65%,66%,3,8,1,1,73%,65%,0.73,0.5,198,203,175,181,152,152,0.29,0.5,0.40,0.27,105,86,28,34,25,50,30%,55%
semi,Stanislas Wawrinka,6-3 6-7(1) 7-6(3) 7-6(4),2014,m,Stanislas Wawrinka,Tomas Berdych,SUI,CZE,61%,62%,18,21,4,7,82%,82%,0.56,0.57,217,216,189,195,152,152,0.25,0,0.28,0.28,143,142,57,60,49,49,78%,74%
quarter,Rafael Nadal,3-6 7-6(3) 7-6(7) 6-2,2014,m,Rafael Nadal,Grigor Dimitrov,ESP,BUL,73%,58%,3,16,7,5,73%,71%,0.67,0.49,201,219,168,189,152,152,0.36,0.5,0.38,0.29,147,132,42,54,47,61,89%,68%
quarter,Roger Federer,6-3 6-4 6-7(6) 6-3,2014,m,Roger Federer,Andy Murray,SUI,GBR,64%,61%,10,9,0,1,78%,67%,0.64,0.49,204,208,184,183,131,131,0.24,0.5,0.40,0.27,147,121,54,41,42,46,74%,63%
quarter,Stanislas Wawrinka,2-6 6-4 6-2 3-6 9-7,2014,m,Stanislas Wawrinka,Novak Djokovic,SUI,SRB,58%,73%,17,7,5,1,72%,71%,0.5,0.59,219,203,194,187,146,146,0.5,0.57,0.32,0.37,153,161,51,45,60,60,67%,74%
quarter,Tomas Berdych,6-1 6-4 2-6 6-4,2014,m,Tomas Berdych,David Ferrer,CZE,ESP,52%,61%,10,2,4,1,78%,64%,0.44,0.5,217,185,194,167,141,141,0.38,0.25,0.42,0.39,128,119,43,30,62,46,64%,92%
Fourth,Andy Murray,6-1 6-2 6-7(6) 6-2,2014,m,Andy Murray,Stephane Robert,GBR,FRA,62%,51%,8,3,3,8,76%,67%,0.52,0.39,209,192,180,182,139,139,0.5,0.17,0.46,0.33,137,103,48,33,47,56,67%,65%
Fourth,Rafael Nadal,7-6(3) 7-5 7-6(3),2014,m,Rafael Nadal,Kei Nishikori,ESP,JPN,71%,66%,12,2,1,1,76%,67%,0.39,0.41,202,199,185,178,148,148,0.63,0.4,0.42,0.35,129,110,36,36,28,51,53%,80%
Fourth,Roger Federer,6-3 7-5 6-4,2014,m,Roger Federer,Jo-Wilfried Tsonga,SUI,FRA,57%,52%,7,8,1,1,88%,70%,0.69,0.55,202,224,184,191,146,146,0.43,0,0.38,0.20,100,72,43,29,21,28,83%,44%
Fourth,Grigor Dimitrov,6-3 3-6 6-2 6-4,2014,m,Grigor Dimitrov,Roberto Bautista-Agut,BUL,ESP,60%,64%,11,5,3,1,85%,68%,0.47,0.59,219,198,192,171,147,147,0.8,0.2,0.35,0.30,114,100,38,27,34,45,66%,57%
Fourth,Novak Djokovic,6-3 6-0 6-2,2014,m,Novak Djokovic,Fabio Fognini,SRB,ITA,72%,59%,7,3,2,7,88%,59%,0.71,0.35,200,201,177,180,139,139,0.27,0.67,0.51,0.17,96,55,33,20,21,44,75%,69%
Fourth,Stanislas Wawrinka,6-3 7-6(3) 7-6(5),2014,m,Stanislas Wawrinka,Tommy Robredo,SUI,ESP,56%,71%,14,1,3,0,90%,70%,0.51,0.45,221,199,197,185,149,149,0.4,0.25,0.37,0.27,118,96,57,24,37,22,68%,81%
Fourth,Tomas Berdych,6-2 6-2 6-3,2014,m,Tomas Berdych,Kevin Anderson,CZE,RSA,52%,72%,4,16,3,1,89%,63%,0.62,0.38,219,212,193,194,171,171,0.29,0.37,0.44,0.24,92,66,38,31,17,30,83%,32%
Fourth,David Ferrer,6-7(5) 7-5 6-2 6-1,2014,m,David Ferrer,Florian Mayer,ESP,GER,63%,61%,3,4,1,3,74%,55%,0.55,0.46,189,193,171,179,137,137,0.47,0.27,0.48,0.33,153,118,64,33,43,49,70%,52%
Third,Roberto Bautista-Agut,6-2 6-1 6-4,2014,m,Roberto Bautista-Agut,Benoit Paire,ESP,FRA,83%,58%,4,13,1,3,71%,63%,0.54,0.29,194,202,168,186,140,140,0.35,0.29,0.52,0.32,96,65,21,31,23,59,79%,50%
Third,Roger Federer,6-2 6-2 6-3,2014,m,Roger Federer,Teimuraz Gabashvili,SUI,RUS,62%,69%,6,3,1,5,87%,60%,0.57,0.36,202,194,180,178,148,148,0.36,0,0.47,0.25,98,66,35,27,18,33,55%,37%
Third,Andy Murray,7-6(2) 6-4 6-2,2014,m,Andy Murray,Feliciano Lopez,GBR,ESP,64%,57%,6,8,2,7,86%,70%,0.48,0.47,206,214,174,193,155,155,0.36,1,0.40,0.27,106,84,29,31,30,44,61%,70%
Third,Grigor Dimitrov,6-3 3-6 6-4 7-6(10),2014,m,Grigor Dimitrov,Milos Raonic,BUL,CAN,60%,59%,15,21,5,5,83%,74%,0.75,0.59,217,226,194,200,169,169,0.5,0.33,0.32,0.20,128,107,49,50,13,39,80%,42%
Third,Kei Nishikori,7-5 6-1 6-0,2014,m,Kei Nishikori,Donald Young,JPN,USA,54%,64%,3,1,1,5,71%,49%,0.6,0.27,193,201,176,162,140,140,0.67,0.25,0.59,0.34,93,56,30,17,27,32,43%,50%
Third,Jo-Wilfried Tsonga,7-6(5) 6-4 6-2,2014,m,Jo-Wilfried Tsonga,Gilles Simon,FRA,FRA,66%,53%,17,7,0,3,80%,79%,0.65,0.58,223,198,189,181,137,137,0.5,0,0.31,0.25,94,79,40,21,29,25,74%,82%
Third,Stephane Robert,6-0 7-6(2) 6-4,2014,m,Stephane Robert,Martin Klizan,FRA,SVK,72%,53%,7,6,5,4,86%,65%,0.46,0.48,194,196,177,176,146,146,0.4,0,0.43,0.25,105,75,35,36,23,38,82%,62%
Third,Rafael Nadal,6-1 6-2 6-3,2014,m,Rafael Nadal,Gael Monfils,ESP,FRA,67%,69%,2,10,0,5,72%,57%,0.77,0.33,205,216,182,190,154,154,0.5,0,0.50,0.27,107,70,21,33,18,57,69%,44%
Third,Kevin Anderson,3-6 4-6 6-3 7-6(5) 7-5,2014,m,Kevin Anderson,Edouard Roger-Vasselin,RSA,FRA,67%,74%,27,8,6,4,76%,72%,0.52,0.44,220,196,198,177,143,143,0.25,0.43,0.35,0.32,164,162,82,43,69,34,73%,59%
Third,Tommy Robredo,2-6 7-5 6-4 7-6(6),2014,m,Tommy Robredo,Richard Gasquet,ESP,FRA,65%,62%,16,4,3,5,78%,72%,0.43,0.53,204,204,185,176,148,148,0.43,0.33,0.36,0.35,140,137,51,62,38,34,72%,77%
Third,David Ferrer,6-2 7-6(5) 6-2,2014,m,David Ferrer,Jeremy Chardy,ESP,FRA,72%,58%,2,8,1,8,70%,69%,0.71,0.36,187,212,173,197,162,162,0.45,0.33,0.45,0.30,111,87,22,30,24,51,83%,63%
Third,Tomas Berdych,6-4 6-2 6-2,2014,m,Tomas Berdych,Damir Dzumhur,CZE,BIH,57%,44%,13,5,1,6,90%,71%,0.61,0.39,215,190,199,174,143,143,0.56,0,0.47,0.22,93,58,32,21,26,34,72%,56%
Third,Florian Mayer,7-5 6-2 6-2,2014,m,Florian Mayer,Jerzy Janowicz,GER,POL,68%,53%,17,3,0,7,91%,69%,0.68,0.41,188,220,165,186,151,151,0.45,0,0.44,0.16,98,63,38,34,7,44,92%,73%
Third,Novak Djokovic,6-3 6-3 7-5,2014,m,Novak Djokovic,Denis Istomin,SRB,UZB,63%,65%,6,5,1,1,78%,73%,0.69,0.33,205,203,188,182,143,143,0.63,1,0.41,0.26,93,71,31,14,23,26,76%,33%
Third,Fabio Fognini,7-5 6-4 6-4,2014,m,Fabio Fognini,Sam Querrey,ITA,USA,60%,63%,9,10,3,1,75%,66%,0.72,0.5,203,214,178,193,146,146,0.4,0.25,0.40,0.26,108,86,43,27,26,41,64%,48%
Second,Donald Young,6-4 2-6 6-3 4-6 7-5,2014,m,Donald Young,Andreas Seppi,USA,ITA,61%,57%,6,12,15,10,66%,68%,0.43,0.52,199,196,168,174,132,132,0.4,0.33,0.39,0.43,158,165,47,47,78,65,65%,60%
Second,Rafael Nadal,6-2 6-4 6-2,2014,m,Rafael Nadal,Thanasi Kokkinakis,ESP,AUS,74%,67%,7,4,1,3,82%,63%,0.58,0.38,199,203,179,187,153,153,0.5,0,0.45,0.24,91,61,39,21,19,24,79%,80%
Second,Teimuraz Gabashvili,7-6(1) 3-6 2-6 6-4 6-4,2014,m,Teimuraz Gabashvili,Fernando Verdasco,RUS,ESP,68%,60%,2,12,4,18,64%,70%,0.57,0.54,199,215,172,181,154,154,0.29,0.6,0.36,0.38,146,156,24,56,51,71,60%,58%
Second,Stephane Robert,7-6(3) 6-1 6-7(3) 6-1,2014,m,Stephane Robert,Michal Przysiezny,FRA,POL,58%,58%,13,12,8,6,78%,66%,0.58,0.44,196,210,177,190,155,155,0.35,0.29,0.44,0.31,143,112,43,46,28,63,87%,61%
Second,Roberto Bautista-Agut,4-6 6-3 5-7 6-4 7-5,2014,m,Roberto Bautista-Agut,Juan Martin Del Potro,ESP,ARG,69%,72%,12,28,6,2,77%,72%,0.45,0.5,199,213,173,190,151,151,0.63,0.24,0.34,0.33,162,152,72,53,59,41,71%,52%
Second,Jo-Wilfried Tsonga,7-6(6) 6-4 6-4,2014,m,Jo-Wilfried Tsonga,Thomaz Bellucci,FRA,BRA,64%,45%,14,9,6,5,86%,65%,0.55,0.59,218,207,191,186,158,158,0.33,0.25,0.39,0.25,110,88,47,19,28,29,67%,72%
Second,Gilles Simon,4-6 7-6(3) 6-7(5) 6-1 6-2,2014,m,Gilles Simon,Marin Cilic,FRA,CRO,49%,50%,7,15,8,7,73%,68%,0.45,0.43,,,,,,,0.83,0.47,0.44,0.41,171,156,7,15,8,7,,
Second,Gael Monfils,7-6(2) 7-5 6-2,2014,m,Gael Monfils,Jack Sock,FRA,USA,62%,58%,13,5,3,9,84%,70%,0.66,0.47,213,217,187,195,164,164,0.36,1,0.40,0.23,117,92,39,34,30,37,77%,55%
Second,Martin Klizan,6-4 6-3 5-7 7-6(2),2014,m,Martin Klizan,Blaz Rola,SVK,SLO,58%,63%,16,12,5,8,73%,72%,0.69,0.44,,,,,,,0.36,0.75,0.38,0.28,139,123,16,12,5,8,,
Second,Roger Federer,6-2 6-1 7-6(4),2014,m,Roger Federer,Blaz Kavcic,SUI,SLO,76%,62%,11,6,0,3,78%,52%,0.5,0.47,208,202,180,181,142,142,0.55,0.5,0.49,0.29,103,72,52,14,35,21,79%,31%
Second,Benoit Paire,6-7(5) 6-7(5) 6-4 6-2 6-2,2014,m,Benoit Paire,Nick Kyrgios,FRA,AUS,50%,66%,32,24,5,11,84%,70%,0.59,0.43,208,211,186,189,153,153,0.29,0.2,0.39,0.29,188,159,78,59,45,74,88%,60%
Second,Grigor Dimitrov,6-3 6-3 7-6(11),2014,m,Grigor Dimitrov,Yen-Hsun Lu,BUL,TPE,59%,70%,15,2,7,2,86%,58%,0.46,0.54,216,194,196,178,151,151,0.24,0.5,0.43,0.30,117,95,36,23,35,46,56%,72%
Second,Feliciano Lopez,6-3 7-6(6) 6-4,2014,m,Feliciano Lopez,Michael Berrer,ESP,GER,62%,68%,8,6,3,3,75%,66%,0.62,0.52,,,,,,,0.36,0.5,0.38,0.30,108,93,43,29,24,25,81%,61%
Second,Andy Murray,6-2 6-2 7-5,2014,m,Andy Murray,Vincent Millot,GBR,FRA,59%,55%,5,2,5,7,80%,46%,0.55,0.44,207,196,172,175,143,143,0.47,0.75,0.55,0.31,106,68,25,22,31,55,100%,60%
Second,Milos Raonic,7-6(9) 6-4 6-4,2014,m,Milos Raonic,Victor Hanescu,CAN,ROU,64%,67%,27,6,2,1,85%,72%,0.62,0.59,,,,,,,0.33,0,0.32,0.23,116,101,63,23,36,23,68%,70%
Second,Kei Nishikori,6-1 6-1 7-6(3),2014,m,Kei Nishikori,Dusan Lajovic,JPN,SRB,64%,70%,5,7,3,3,83%,58%,0.52,0.3,197,203,174,167,140,140,0.5,0.2,0.51,0.28,104,68,30,17,27,49,71%,57%
Second,Florian Mayer,6-4 3-6 6-3 3-6 6-3,2014,m,Florian Mayer,Mikhail Youzhny,GER,RUS,60%,55%,19,14,3,5,78%,74%,0.65,0.59,200,191,178,179,150,150,0.36,0.43,0.33,0.28,136,126,48,48,41,46,69%,67%
Second,Vasek Pospisil,3-6 7-6(6) 7-6(9) 6-1,2014,m,Vasek Pospisil,Matthew Ebden,CAN,AUS,60%,68%,13,8,3,3,77%,75%,0.61,0.48,210,196,190,174,149,149,0.8,0.27,0.34,0.30,132,121,46,30,47,43,64%,74%
Second,Jerzy Janowicz,4-6 7-6(3) 7-6(5) 6-3,2014,m,Jerzy Janowicz,Pablo Andujar,POL,ESP,67%,79%,15,11,5,1,71%,64%,0.48,0.67,224,186,194,171,144,144,0.27,0.27,0.35,0.36,151,149,63,57,47,28,61%,65%
Second,Tomas Berdych,6-4 6-1 6-3,2014,m,Tomas Berdych,Kenny de Schepper,CZE,FRA,64%,63%,5,8,4,9,88%,62%,0.63,0.32,213,218,188,185,169,169,0.63,1,0.49,0.21,93,57,29,29,13,32,84%,56%
Second,Sam Querrey,6-2 6-3 6-4,2014,m,Sam Querrey,Ernests Gulbis,USA,LAT,72%,46%,19,7,4,4,88%,66%,0.55,0.51,220,220,200,204,170,170,0.56,0.33,0.42,0.21,88,59,30,19,21,41,55%,55%
Second,Novak Djokovic,6-0 6-4 6-4,2014,m,Novak Djokovic,Leonardo Mayer,SRB,ARG,66%,52%,12,3,2,7,82%,64%,0.74,0.41,202,207,179,194,171,171,0.83,0.5,0.47,0.21,93,59,30,14,11,39,56%,64%
Second,Kevin Anderson,6-4 6-3 6-4,2014,m,Kevin Anderson,Dominic Thiem,RSA,AUT,65%,59%,15,10,5,3,83%,76%,0.64,0.52,218,215,199,190,150,150,0.6,0,0.34,0.24,87,69,30,28,22,21,80%,40%
Second,Stanislas Wawrinka,6-3 6-3 6-7(4) 6-4,2014,m,Stanislas Wawrinka,Alejandro Falla,SUI,COL,56%,60%,9,1,4,3,83%,69%,0.56,0.46,214,197,180,176,135,135,0.35,0.29,0.40,0.29,142,117,61,26,46,37,79%,62%
Second,David Ferrer,7-6(2) 5-7 6-0 6-3,2014,m,David Ferrer,Adrian Mannarino,ESP,FRA,68%,55%,0,5,4,1,70%,58%,0.47,0.41,187,199,174,170,139,139,0.53,0.5,0.50,0.37,142,113,32,32,48,73,95%,58%
Second,Tommy Robredo,6-3 6-7(4) 6-1 7-6(6),2014,m,Tommy Robredo,Julien Benneteau,ESP,FRA,58%,62%,17,14,3,6,74%,71%,0.63,0.46,207,205,184,182,151,151,0.31,0.09,0.39,0.30,159,138,66,64,25,65,76%,65%
Second,Fabio Fognini,7-5 6-4 3-6 6-2,2014,m,Fabio Fognini,Jarkko Nieminen,ITA,FIN,58%,65%,9,3,12,5,74%,66%,0.48,0.5,207,199,179,172,128,128,0.33,0.13,0.39,0.37,144,134,51,24,60,37,82%,63%
Second,Denis Istomin,7-6(3) 4-6 6-1 6-4,2014,m,Denis Istomin,Dmitry Tursunov,UZB,RUS,54%,53%,14,5,1,5,73%,74%,0.67,0.48,201,209,179,187,143,143,0.63,0.3,0.38,0.30,127,106,46,31,34,44,78%,63%
Second,Edouard Roger-Vasselin,7-6(1) 6-4 4-6 6-1,2014,m,Edouard Roger-Vasselin,Guillermo Garcia-Lopez,FRA,ESP,57%,51%,11,9,2,10,70%,72%,0.54,0.43,,,,,,,0.41,0.31,0.42,0.37,130,117,11,9,2,10,,
Second,Jeremy Chardy,7-5 7-6(5) 6-7(3) 7-6(5),2014,m,Jeremy Chardy,Alexandr Dolgopolov,FRA,UKR,60%,71%,22,15,10,2,77%,70%,0.46,0.47,215,210,197,171,136,136,0.36,0.33,0.37,0.35,164,160,76,43,73,36,63%,79%
Second,Damir Dzumhur,4-6 4-6 6-3 4-1 ret.,2014,m,Damir Dzumhur,Ivan Dodig,BIH,CRO,51%,55%,7,13,6,2,75%,76%,0.57,0.49,,,,,,,0.6,0.43,0.36,0.34,95,91,33,37,27,43,67%,63%
Second,Richard Gasquet,7-6(3) 6-4 6-4,2014,m,Richard Gasquet,Nikolay Davydenko,FRA,RUS,58%,77%,9,6,5,1,71%,59%,0.5,0.44,201,207,177,163,143,143,0.55,0.8,0.45,0.38,110,97,33,39,37,43,67%,75%
First,Rafael Nadal,6-4 ret.,2014,m,Rafael Nadal,Bernard Tomic,ESP,AUS,62%,71%,5,3,1,1,88%,75%,0.6,0.38,203,210,181,186,143,143,1,0.35,0.36,0.23,30,24,13,13,5,7,100%,60%
First,Roger Federer,6-4 6-4 6-2,2014,m,Roger Federer,James Duckworth,SUI,AUS,58%,52%,11,13,5,3,89%,75%,0.58,0.43,207,216,185,176,162,162,0.24,0,0.40,0.24,96,74,30,34,17,38,82%,56%
First,Teimuraz Gabashvili,6-7(3) 6-4 6-2 6-0,2014,m,Teimuraz Gabashvili,Sergiy Stakhovsky,RUS,UKR,58%,55%,5,14,4,8,74%,69%,0.5,0.36,,,,,,,0.53,0.5,0.46,0.36,133,112,5,14,4,8,,
First,Feliciano Lopez,6-4 6-4 7-6(2),2014,m,Feliciano Lopez,Somdev Devvarman,ESP,IND,65%,52%,12,6,2,1,81%,63%,0.55,0.56,,,,,,,0.57,0.29,0.40,0.28,110,89,12,6,2,1,,
First,Gael Monfils,6-4 6-4 6-4,2014,m,Gael Monfils,Ryan Harrison,FRA,USA,64%,62%,9,2,5,1,86%,72%,0.64,0.49,220,226,191,195,165,165,0.75,0.17,0.37,0.22,95,76,43,19,27,23,82%,65%
